@relation 'df_distancia-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-5,9-10,13-19,21-24,28-40,42-43,46-53,55,57-59,61-62,65-67,69-73,76'

@attribute customer_state {SP,RJ}
@attribute total_payment_value numeric
@attribute total_freight numeric
@attribute total_weight_g numeric
@attribute total_volume_cm3 numeric
@attribute principal_category_by_price {utilidades_domesticas,cama_mesa_banho,brinquedos,beleza_saude,relogios_presentes,moveis_decoracao,informatica_acessorios,esporte_lazer}
@attribute principal_seller_state_by_price {SP,PR,MG,RJ}
@attribute purchase_year numeric
@attribute facturacion_promedio_t1 numeric
@attribute facturacion_mediana_t1 numeric
@attribute facturacion_std_t1 numeric
@attribute facturacion_total_7d_avg numeric
@attribute dias_entrega_promedio_7d_avg numeric
@attribute dias_entrega_promedio_t2 numeric
@attribute dias_entrega_promedio_prev_month numeric
@attribute es_post_domingo_festivo numeric
@attribute es_diciembre numeric
@attribute es_fin_de_semana_extendido numeric
@attribute distancia_km numeric
@attribute distancia_total_t1 numeric
@attribute distancia_total_prev_month numeric
@attribute delivery_days numeric

@data
SP,30.96,10.96,100,2560,cama_mesa_banho,SP,2017,192.654412,117.895,300.08339,7307.478333,9.211735,10.076923,7.389867,0,0,0,34.872938,7092.618293,26973.463786,12
RJ,198.12,19.13,292,1632,relogios_presentes,SP,2018,160.049517,114.395,195.944297,46846.021429,15.722602,15.735294,14.949342,0,0,0,528.929242,27513.810371,393740.533187,17
SP,84.43,13.52,1200,45630,moveis_decoracao,SP,2017,152.045871,92.67,217.085211,26233.63,11.833202,11.265306,11.846389,0,0,1,288.930227,15981.130072,345715.109856,22
SP,124.76,14.86,1225,19950,cama_mesa_banho,SP,2018,170.633018,119.51,202.033343,47203.784286,12.303706,17,16.552935,0,0,0,362.814975,30805.985935,475528.215386,7
SP,69.73,9.74,525,9280,esporte_lazer,SP,2018,182.13625,139.795,177.899632,29850.881429,13.875819,15.172043,13.715038,1,0,0,81.415901,5745.475222,458277.70975,14
SP,76.85,11.95,250,864,moveis_decoracao,SP,2017,149.773496,106.83,164.994885,32158.368571,10.688338,8.804348,11.846389,0,0,0,303.451898,22102.810093,345715.109856,13
SP,100.57,20.6,8809,45968,esporte_lazer,SP,2018,163.602118,101.125,207.540138,31438.5,15.805472,14.517986,14.586934,0,0,1,95.889643,15937.519357,422407.097607,19
SP,88.31,8.32,250,3960,beleza_saude,SP,2018,140.357941,86.595,259.65712,14082.28,18.452654,14.748744,13.721701,0,0,1,19.667371,4690.000358,483615.821486,2
SP,42.27,7.78,600,8008,beleza_saude,SP,2017,171.089598,111.17,214.438621,26340.533333,11.765762,12.847222,11.846389,0,0,1,40.4524,9755.181079,345715.109856,4
SP,24.38,7.39,250,1235,informatica_acessorios,SP,2018,168.727411,104.85,262.690283,36702.774286,15.843978,22.25,14.949342,0,0,0,15.810762,29889.16394,393740.533187,1
SP,56.78,7.78,250,352,relogios_presentes,SP,2018,157.10278,89.05,284.909702,32831.427143,18.671441,15.039427,13.715038,0,0,1,45.33402,8073.057044,458277.70975,5
SP,131.33,12.33,1500,30752,esporte_lazer,SP,2017,256.93,166.83,241.987798,18872.885714,10.677419,9.475,11.140125,1,0,0,362.065265,7264.965878,205372.622305,14
RJ,148.69,18.79,100,880,beleza_saude,SP,2018,182.696302,115.555,227.349653,21043.361429,15.372546,11.162162,13.721701,0,0,0,696.369313,27843.763075,483615.821486,6
SP,322.17,23.17,2850,8349,moveis_decoracao,PR,2018,138.861099,100.485,136.177752,30192.771429,15.758284,15.924686,14.586934,0,0,0,359.81588,15249.215838,422407.097607,13
SP,275.19,15.29,3200,10560,cama_mesa_banho,SP,2018,152.005455,100.75,191.175299,36482.981429,14.848793,14.470588,14.586934,0,0,0,121.497359,16477.317896,422407.097607,1
SP,40.86,10.96,400,9000,moveis_decoracao,SP,2017,125.904167,98.205,105.418155,1161.92,8.083896,7.4,51.5,0,0,1,126.123084,932.990437,0,6
SP,61.75,11.85,450,3750,moveis_decoracao,SP,2017,130.3801,97.03,117.342947,37290.684286,10.264577,11.766667,11.723562,0,1,0,111.80802,15172.83474,343849.808439,4
RJ,159.07,19.08,250,7500,beleza_saude,SP,2018,165.294933,123.16,160.011189,31556.324286,9.818917,16.222222,11.552505,0,0,0,703.796853,17932.598295,489980.283895,8
SP,63.86,11.86,300,5280,informatica_acessorios,SP,2017,154.800058,101.25,218.899729,19871.62,10.783298,11.588517,10.36886,0,0,0,153.069327,6958.571248,256548.885209,6
SP,174.42,34.52,6550,13440,utilidades_domesticas,MG,2018,187.265,98.725,249.005192,34700.815714,12.364017,11.25,16.552935,0,0,1,430.931583,1308.142517,475528.215386,16
SP,165.57,12.57,2400,23625,cama_mesa_banho,SP,2017,137.350864,102.03,142.883837,19853.525714,11.049738,10.53405,11.140125,0,0,1,97.329675,13017.417729,205372.622305,10
SP,69.32,9.42,600,9295,moveis_decoracao,SP,2018,143.215217,100.22,136.419341,32738.215714,14.266896,14.619632,14.586934,0,0,0,5.892495,17421.242323,422407.097607,2
SP,51.79,12.79,900,12500,cama_mesa_banho,SP,2018,134.32,67.05,161.079081,44519.647143,12.567361,12.145455,16.552935,1,0,0,302.62984,13940.322722,475528.215386,7
RJ,85.24,15.25,500,4180,brinquedos,SP,2017,150.525117,96.8,149.986026,33145.33,10.492922,10.645161,11.723562,0,1,1,353.788672,21900.982878,343849.808439,17
SP,26.29,7.39,200,2375,utilidades_domesticas,SP,2018,169.637555,90.62,336.533038,38817.924286,8.834644,8.673591,9.806023,0,0,0,103.128303,21931.734758,427136.256107,5
RJ,83.1,17.2,1200,18144,cama_mesa_banho,SP,2017,137.510067,97.99,148.503055,15412.695,12.03022,12.787402,11.572975,0,0,0,563.075115,10648.817136,176378.045309,19
SP,96.47,31.48,1050,13860,informatica_acessorios,SP,2018,157.54977,104.11,191.652849,30894.621429,9.657912,10.793103,11.552505,0,0,0,16.931478,21976.437182,489980.283895,2
SP,221.28,35.38,8975,48960,brinquedos,PR,2018,149.347185,101.37,176.11617,43528.085714,11.26894,29.25,11.552505,0,0,0,333.229784,32277.277829,489980.283895,6
RJ,161.01,16.11,200,3795,esporte_lazer,SP,2018,157.728646,117.79,184.352327,14877.707143,8.531697,3,11.552505,0,0,0,365.747797,28308.196726,489980.283895,6
SP,30.79,12.79,150,880,beleza_saude,SP,2018,157.501765,105.94,207.759447,44006.947143,7.686666,6.666667,9.806023,0,0,0,375.892884,33188.811862,427136.256107,6
SP,83.22,23.22,1150,9504,esporte_lazer,SP,2018,162.896181,112.835,211.741374,43688.142857,13.68068,10.35,13.721701,0,0,0,442.705659,20885.474722,483615.821486,9
SP,97.87,12.93,700,15876,esporte_lazer,SP,2017,142.739389,91.35,157.946178,21981.448333,12.278808,12.564593,11.846389,0,0,0,410.264747,16245.501187,345715.109856,6
RJ,109.26,43.56,900,2550,moveis_decoracao,SP,2017,246.527391,112.46,489.610504,12040.401667,11.133468,11.638554,7.389867,0,0,0,584.081466,6200.168161,26973.463786,7
RJ,104.37,15.37,275,7392,beleza_saude,SP,2017,153.405497,105.28,263.427004,14015.725714,10.494637,4.888889,12.847377,0,0,1,299.544921,4857.064399,250979.635758,9
RJ,222.7,32.8,5950,32768,moveis_decoracao,MG,2018,134.32,67.05,161.079081,44519.647143,12.567361,12.145455,16.552935,1,0,0,201.020167,13940.322722,475528.215386,9
RJ,94.3,14.31,1813,37788,cama_mesa_banho,SP,2018,175.2825,148.255,177.56367,37952.227143,13.114918,13.561224,13.715038,1,0,0,343.930577,12101.234914,458277.70975,18
SP,73.34,13.44,1225,18252,utilidades_domesticas,SP,2017,150.340833,110.59,116.636958,20260.79,12.827611,11.961111,11.846389,0,0,1,148.281714,1752.27189,345715.109856,5
SP,499.4,27.56,2434,29700,informatica_acessorios,PR,2017,171.001906,105.33,239.716305,38678.341429,10.413725,11.026756,11.723562,0,1,1,537.834263,16866.037058,343849.808439,17
SP,145.5,25.52,2900,27000,cama_mesa_banho,SP,2017,158.053911,102.305,174.920883,32450.058571,10.548577,11.257813,11.846389,0,0,0,307.161921,12662.738601,345715.109856,10
SP,55.04,7.39,1110,3762,beleza_saude,SP,2018,164.788226,103.74,199.431178,32662.537143,15.240325,14.240602,14.586934,1,0,0,64.832175,8434.286152,422407.097607,9
SP,102.03,12.13,1383,20000,cama_mesa_banho,SP,2017,138.376522,120.09,105.934625,15564.477143,10.502691,9.182482,11.140125,0,0,1,310.11466,353.729592,205372.622305,10
SP,355.77,31.77,350,6000,esporte_lazer,RJ,2017,237.468694,98.99,953.500509,23859.054286,13.282966,12.574074,11.886244,0,0,0,221.96914,15317.592566,291643.578332,9
RJ,99.9,0,584,2288,relogios_presentes,SP,2018,149.366946,107.525,159.558268,39582.264286,14.742362,22.5,16.552935,0,0,0,516.285116,27903.143629,475528.215386,5
RJ,109.31,14.41,500,2040,brinquedos,SP,2017,142.982937,104.73,140.608045,17225.841429,14.384096,14.654545,13.725249,0,0,0,336.71054,9945.821496,117624.976813,5
RJ,179.22,19.22,350,4807,beleza_saude,MG,2018,148.815448,107.935,160.406105,39818.875714,11.193024,9.188272,13.721701,0,0,1,658.836287,19000.212011,483615.821486,5
SP,85.52,13.52,1500,23625,cama_mesa_banho,SP,2017,160.779259,102.865,200.972306,21303.184286,13.334704,19.2,11.886244,0,0,0,227.29649,16978.767596,291643.578332,7
SP,326.36,16.37,8200,49000,utilidades_domesticas,SP,2018,135.133392,95.99,133.634633,32021.13,14.514706,14.663043,14.586934,0,0,0,131.672919,15289.015138,422407.097607,10
RJ,200.23,20.23,501,3276,relogios_presentes,SP,2018,123.496,82.665,96.343665,45807.75,14.311568,15.68932,13.721701,1,0,0,562.299695,9339.364683,483615.821486,14
SP,134.71,15.71,400,2304,relogios_presentes,PR,2018,163.764188,108.9,213.609864,49372.958571,11.394114,9.16338,16.552935,0,0,1,311.626978,28540.149545,475528.215386,13
RJ,27.98,15.1,180,2304,informatica_acessorios,SP,2017,154.575291,98.04,181.260964,19495.361429,10.043422,9.536723,10.36886,0,0,1,569.0101,9080.239836,256548.885209,10
RJ,63.98,14.08,2750,12250,moveis_decoracao,MG,2017,175.013091,101.48,253.855095,25481.274286,10.944267,13,11.886244,0,0,0,210.679944,13964.010971,291643.578332,13
SP,299.75,19.85,3850,18240,cama_mesa_banho,SP,2017,219.488889,106.805,345.413735,27193.461429,11.561738,10.369565,11.02144,1,0,0,145.084884,6110.978959,305993.249671,15
SP,31.75,11.85,178,3366,beleza_saude,SP,2017,178.59378,114.33,218.286113,22367.927143,12.630185,12.54359,11.02144,0,0,0,422.35782,9337.58671,305993.249671,4
SP,218,50.02,25200,29282,esporte_lazer,MG,2017,164.3725,69.42,151.156354,1303.896667,6.92629,7,51.5,0,0,0,370.532507,2150.743466,0,19
SP,117.96,7.64,100,990,beleza_saude,SP,2018,157.079554,100.485,151.119765,49127.597143,10.907773,8.934118,16.552935,0,0,1,104.76933,2305.713804,475528.215386,3
RJ,921.04,21.05,900,6555,relogios_presentes,SP,2017,151.328214,117.85,145.627908,19249.975714,10.919457,11.339286,11.886244,0,0,0,527.640199,17042.466423,291643.578332,14
SP,35.36,7.46,150,1360,beleza_saude,SP,2018,110.335,104.665,70.296459,12183.504286,9.868565,6.4,11.552505,0,0,1,27.14483,4262.101729,489980.283895,5
